platform_shop_id,shop_name,brand,category,sido,sigungu,order_count,sales_amount,review_count,reply_rate,composite_growth_score,internal_growth_alpha,growth_label_top30,rank_type
ba_14796835,굽네치킨 모라점,굽네치킨,치킨,부산광역시,사상구,2,54600.0,1,1.0,758.887363,752.699888,1,top
ba_14799661,본죽&비빔밥 의정부역점,본그룹,백반·죽·국수,경기도,의정부시,7,112500.0,0,,311.159429,304.0201,1,top
ba_14688789,본죽&비빔밥 성남고등점,본그룹,백반·죽·국수,경기도,성남시,1,18800.0,9,1.0,228.729846,221.590517,1,top
ba_14794547,굽네치킨&피자 회기역점,굽네치킨,치킨,서울특별시,동대문구,10,232000.0,8,1.0,204.630043,198.442568,1,top
ba_14780432,본죽&비빔밥 경기광주태전힐스테이트점,본그룹,백반·죽·국수,경기도,광주시,1,15500.0,0,,185.235054,178.095725,1,top
ba_14756247,본죽&비빔밥 일산가좌점,본그룹,백반·죽·국수,경기도,고양시,1,26000.0,4,1.0,165.481325,158.341996,1,top
ba_14725485,굽네치킨 구례읍점,굽네치킨,치킨,전라남도,구례군,2,53900.0,2,1.0,149.122709,142.935234,1,top
ba_14801006,굽네치킨&피자 상봉점,굽네치킨,치킨,서울특별시,중랑구,19,496100.0,7,1.0,144.262975,138.0755,1,top
ba_14801139,굽네치킨&피자 율하스타점,굽네치킨,치킨,경상남도,김해시,8,249600.0,1,0.0,140.228606,134.041131,1,top
ba_14688192,본죽 성남신흥동점,본그룹,백반·죽·국수,경기도,성남시,6,158500.0,13,0.0,133.752145,126.612816,1,top
ba_14277930,본죽&비빔밥 동탄청계점,본그룹,백반·죽·국수,경기도,화성시,1,14500.0,1,0.0,132.168276,125.028947,1,top
ba_14456827,본죽&비빔밥 인천동암더샵점,본그룹,백반·죽·국수,인천광역시,부평구,1,17300.0,0,,127.275145,120.135816,1,top
ba_14754893,본죽&비빔밥 일산탄현큰마을점,본그룹,백반·죽·국수,경기도,고양시,8,183500.0,24,1.0,119.947514,112.808185,1,top
ba_14687493,본죽&비빔밥 상암DMC점,본그룹,백반·죽·국수,서울특별시,마포구,3,81700.0,4,0.0,115.870435,108.731106,1,top
ba_14691817,본죽 부산장림점,본그룹,백반·죽·국수,부산광역시,사하구,4,83000.0,5,0.0,110.823117,103.683788,1,top
ba_10698232,굽네치킨&피자 연경점,굽네치킨,치킨,대구광역시,동구,14,323500.0,131,1.0,109.108985,102.92151,1,top
ba_14799629,굽네치킨 수원신동점,굽네치킨,치킨,경기도,수원시,10,261500.0,1,1.0,108.820421,102.632946,1,top
ba_14786815,본죽&비빔밥 부산남천동점,본그룹,백반·죽·국수,부산광역시,수영구,1,62200.0,2,0.5,103.812701,96.673372,1,top
ba_13226546,본죽&비빔밥 부산대학병원점,본그룹,백반·죽·국수,부산광역시,서구,3,43000.0,0,,102.365194,95.225865,1,top
ba_14691834,본죽 부산고신대병원점,본그룹,백반·죽·국수,부산광역시,서구,4,123500.0,9,0.0,98.071883,90.932554,1,top
ba_14797999,굽네치킨&피자 대흥역점,굽네치킨,치킨,서울특별시,마포구,6,173000.0,0,,97.093988,90.906513,1,top
ba_13228647,본죽 대전용운점,본그룹,백반·죽·국수,대전광역시,동구,1,17000.0,0,,96.406078,89.266749,1,top
ba_14778684,본죽&비빔밥 대구대천점,본그룹,백반·죽·국수,대구광역시,달서구,5,84400.0,3,0.0,94.147725,87.008396,1,top
ba_13229858,본죽 창원반송점,본그룹,백반·죽·국수,경상남도,창원시,5,105500.0,4,0.0,92.174155,85.034826,1,top
ba_14273436,본죽&비빔밥 거제고현점,본그룹,백반·죽·국수,경상남도,거제시,6,105400.0,6,0.0,90.711626,83.572297,1,top
ba_14689024,본죽&비빔밥 김포장기초당마을점,본그룹,백반·죽·국수,경기도,김포시,13,358500.0,26,0.0,90.167378,83.028049,1,top
ba_14800284,굽네치킨&피자 광주양산점,굽네치킨,치킨,광주광역시,북구,15,398100.0,4,1.0,84.180595,77.99312,1,top
ba_14692077,본죽&비빔밥 진주혁신중앙점,본그룹,백반·죽·국수,경상남도,진주시,3,103500.0,3,0.0,83.875072,76.735743,1,top
ba_14692035,본죽&비빔밥 여수미평점,본그룹,백반·죽·국수,전라남도,여수시,9,205500.0,8,0.0,83.807286,76.667957,1,top
ba_13233581,본죽&비빔밥 진주혁신중앙점,본그룹,백반·죽·국수,경상남도,진주시,7,135000.0,6,0.0,82.500317,75.360988,1,top
ba_14689416,본죽&비빔밥 수원호매실화홍병원점,본그룹,백반·죽·국수,경기도,수원시,0,0.0,0,,-1.0,-8.139329,0,bottom
ba_14692092,본죽&비빔밥 제주외도점,본그룹,백반·죽·국수,제주특별자치도,제주시,0,0.0,0,,-1.0,-8.139329,0,bottom
ba_14688338,본죽 부천대성병원점,본그룹,백반·죽·국수,경기도,부천시,105,2225500.0,2,0.0,-1.0,-8.139329,0,bottom
ba_14688571,본죽 안산선부점,본그룹,백반·죽·국수,경기도,안산시,0,0.0,0,,-1.0,-8.139329,0,bottom
ba_13233735,본죽 대구감삼드림시티점,본그룹,백반·죽·국수,대구광역시,달서구,26,469600.0,0,,-1.0,-8.139329,0,bottom
ba_13182018,본죽&비빔밥 순천중앙점,본그룹,백반·죽·국수,전라남도,순천시,40,838900.0,4,0.0,-0.988235,-8.127564,0,bottom
ba_14690709,본죽&비빔밥 김해진영점,본그룹,백반·죽·국수,경상남도,김해시,1,28000.0,0,,-0.981465,-8.120794,0,bottom
ba_13233554,본죽 대구서재점,본그룹,백반·죽·국수,대구광역시,달성군,75,1361000.0,6,1.0,-0.894111,-8.03344,0,bottom
ba_14283482,본죽&비빔밥 목동역점,본그룹,백반·죽·국수,서울특별시,양천구,25,513700.0,0,,-0.83411,-7.973439,0,bottom
ba_13229152,본죽&비빔밥 부산엄궁점,본그룹,백반·죽·국수,부산광역시,사상구,95,1971600.0,5,1.0,-0.811713,-7.951042,0,bottom
ba_14692368,본죽&비빔밥 제주서귀포동홍점,본그룹,백반·죽·국수,제주특별자치도,서귀포시,0,0.0,0,,-0.8,-7.939329,0,bottom
ba_14767931,본죽&비빔밥 신중동점,본그룹,백반·죽·국수,경기도,부천시,453,9736500.0,28,1.0,-0.780512,-7.919841,0,bottom
ba_14689402,본죽&비빔밥 의정부을지대병원점,본그룹,백반·죽·국수,경기도,의정부시,143,3023400.0,11,0.9091,-0.768,-7.907329,0,bottom
ba_13233457,본죽&비빔밥 대구용산장기점,본그룹,백반·죽·국수,대구광역시,달서구,85,1675000.0,2,1.0,-0.762886,-7.902215,0,bottom
ba_14691998,본죽&비빔밥 부산엄궁점,본그룹,백반·죽·국수,부산광역시,사상구,254,6846600.0,12,1.0,-0.756993,-7.896322,0,bottom
ba_14688363,본죽&비빔밥 목동역점,본그룹,백반·죽·국수,서울특별시,양천구,194,4502000.0,15,1.0,-0.732264,-7.871593,0,bottom
ba_14691042,본죽 대구서재점,본그룹,백반·죽·국수,대구광역시,달성군,240,5934200.0,14,1.0,-0.717908,-7.857237,0,bottom
ba_14756888,본죽&비빔밥 창원대원점,본그룹,백반·죽·국수,경상남도,창원시,445,8404500.0,18,1.0,-0.716773,-7.856102,0,bottom
ba_13227543,본죽&비빔밥 부경대경성대점,본그룹,백반·죽·국수,부산광역시,남구,59,1223700.0,12,1.0,-0.715259,-7.854588,0,bottom
ba_14238012,본죽&비빔밥 안동송현점,본그룹,백반·죽·국수,경상북도,안동시,215,4752400.0,7,1.0,-0.704592,-7.843921,0,bottom
ba_13233506,본죽 광양마동점,본그룹,백반·죽·국수,전라남도,광양시,103,2132900.0,6,0.1667,-0.6807,-7.820029,0,bottom
ba_14688522,본죽 시흥은행점,본그룹,백반·죽·국수,경기도,시흥시,683,14351700.0,26,1.0,-0.669928,-7.809257,0,bottom
ba_13470236,본죽&비빔밥 신제주점,본그룹,백반·죽·국수,제주특별자치도,제주시,64,1763400.0,3,1.0,-0.668313,-7.807642,0,bottom
ba_13235557,본죽 도봉동점,본그룹,백반·죽·국수,서울특별시,도봉구,15,246200.0,1,1.0,-0.654038,-7.793367,0,bottom
ba_14691270,본죽&비빔밥 대구용산장기점,본그룹,백반·죽·국수,대구광역시,달서구,450,11287200.0,29,0.9655,-0.650478,-7.789807,0,bottom
ba_14691894,본죽 광양마동점,본그룹,백반·죽·국수,전라남도,광양시,426,9408300.0,12,0.3333,-0.608444,-7.747773,0,bottom
ba_14692178,본죽&비빔밥 제주함덕점,본그룹,백반·죽·국수,제주특별자치도,제주시,0,0.0,0,,-0.581385,-7.720714,0,bottom
ba_14688907,본죽&비빔밥 고양행신역점,본그룹,백반·죽·국수,경기도,고양시,208,5187700.0,11,1.0,-0.580275,-7.719604,0,bottom
ba_14371606,본죽&비빔밥 부산내성교차로점,본그룹,백반·죽·국수,부산광역시,동래구,105,1872200.0,3,1.0,-0.564454,-7.703783,0,bottom
ba_13473077,본죽&비빔밥 목포북항점,본그룹,백반·죽·국수,전라남도,목포시,145,2991200.0,10,0.9,-0.561366,-7.700695,0,bottom
