growth_label_top30,metric,count,mean,median,std,p25,p75
0,order_count,7849,68.178239,0.0,212.023074,0.0,0.0
0,sales_amount,7849,1834187.032743,0.0,5787109.962178,0.0,0.0
0,store_avg_ticket,1756,27150.59906,27107.265,5933.650902,22767.2475,30417.89
0,review_count,7849,8.808383,1.0,20.391341,0.0,9.0
0,avg_rating,4226,4.842399,5.0,0.356096,4.8235,5.0
0,reply_rate,4226,0.470192,0.3,0.469315,0.0,1.0
0,avg_reply_delay_hours,2449,4172.901266,4761.0,3364.66374,487.53,7465.8
0,menu_count,7686,111.395524,90.0,38.050132,90.0,163.0
0,avg_delivery_menu_price,7686,11397.697495,11725.555556,1315.333695,10563.00578,11725.555556
0,composite_growth_score,7849,-0.076904,0.0,0.1632,-0.12,0.0
0,internal_growth_alpha,7849,-1.265051,-0.310001,2.139272,-0.982171,-0.118647
0,historical_composite_growth,4860,0.683388,0.0,16.775442,-0.022222,0.125
0,historical_internal_growth_alpha,4860,0.10139,-0.143104,16.72896,-0.321678,0.040803
1,order_count,3365,169.173254,50.0,269.883471,0.0,253.0
1,sales_amount,3365,4377256.950966,1122000.0,7167579.922119,0.0,6516800.0
1,store_avg_ticket,2317,25659.755602,25383.0,5344.710882,22560.3,28289.98
1,review_count,3365,14.89688,8.0,25.871454,3.0,16.0
1,avg_rating,3000,4.841666,5.0,0.367973,4.8333,5.0
1,reply_rate,3000,0.550526,0.7918,0.463914,0.0,1.0
1,avg_reply_delay_hours,1991,2791.93219,1059.0,3066.504945,343.59,6057.0
1,menu_count,3312,102.791365,90.0,33.143624,90.0,90.0
1,avg_delivery_menu_price,3312,11613.599447,11725.555556,1247.678485,11725.555556,11725.555556
1,composite_growth_score,3365,4.338236,0.589722,28.377975,0.263173,1.611074
1,internal_growth_alpha,3365,2.950782,0.114108,27.943178,-0.294539,0.647196
1,historical_composite_growth,2616,0.226297,0.0,2.079665,-0.072727,0.129276
1,historical_internal_growth_alpha,2616,-0.188362,-0.119978,2.098512,-0.255919,0.038876
