growth_label_top30,metric,count,mean,median,std,p25,p75
0,market_q4_sales_amount,1291,106285599450.41518,98372515344.0,99708770834.54662,6990474659.0,144434573525.0
0,market_q4_sales_count,1291,3243684.195198,3281145.0,2758647.533714,265011.5,4663671.0
0,market_q4_avg_ticket,1291,30493.733772,30551.71,6262.037634,27985.41,33628.43
0,store_vs_market_ticket_ratio,284,0.92301,0.78925,0.445225,0.67925,0.976575
0,composite_growth_score,1291,-0.072594,0.0,0.167089,-0.119903,0.0
0,internal_growth_alpha,1291,-1.357865,-0.327479,2.239565,-1.28443,-0.108569
0,historical_internal_growth_alpha,821,-0.206727,-0.113474,1.499375,-0.327479,0.040803
1,market_q4_sales_amount,608,135621680546.80428,124606615617.0,102808182820.03444,64081198179.75,174834019807.0
1,market_q4_sales_count,608,4050903.710526,3883151.0,2733105.205169,2208355.0,5469809.0
1,market_q4_avg_ticket,608,31537.68676,31191.62,5602.705189,28845.32,34885.37
1,store_vs_market_ticket_ratio,389,0.86282,0.7671,0.427643,0.6624,0.8806
1,composite_growth_score,608,3.280611,0.569818,14.656011,0.278055,1.423673
1,internal_growth_alpha,608,2.110578,0.135942,14.119844,-0.189726,0.548401
1,historical_internal_growth_alpha,445,-0.089743,-0.066181,1.220773,-0.231228,0.076524
