sigungu,category,rows,stores,growth_label_1,growth_label_0,growth_rate,avg_growth_alpha,avg_order_count,avg_review_count
용산구,백반·죽·국수,18,2,13,5,0.722222,-0.312584,67.722222,5.222222
양천구,치킨,9,1,6,3,0.666667,-1.38922,400.333333,45.222222
영등포구,피자,18,2,11,7,0.611111,-0.508713,8.666667,0.666667
노원구,피자,9,1,5,4,0.555556,0.156356,1.888889,0.111111
강동구,피자,9,1,5,4,0.555556,6.117663,23.777778,1.666667
영등포구,백반·죽·국수,90,10,49,41,0.544444,-0.765266,80.8,9.222222
서대문구,백반·죽·국수,45,5,23,22,0.511111,-0.526894,154.044444,15.377778
은평구,백반·죽·국수,36,4,17,19,0.472222,-0.55529,63.416667,7.666667
강서구,백반·죽·국수,27,3,12,15,0.444444,-0.831709,46.481481,8.925926
노원구,백반·죽·국수,18,2,8,10,0.444444,-0.611128,294.888889,56.444444
중랑구,피자,9,1,4,5,0.444444,-0.838377,12.888889,1.0
금천구,백반·죽·국수,45,5,19,26,0.422222,-0.915348,115.066667,12.422222
영등포구,치킨,36,4,15,21,0.416667,-1.224667,466.305556,55.527778
도봉구,백반·죽·국수,63,7,26,37,0.412698,0.458996,106.031746,9.52381
송파구,백반·죽·국수,81,9,33,48,0.407407,-0.789866,87.592593,8.283951
중구,백반·죽·국수,63,7,25,38,0.396825,-0.620075,36.31746,2.857143
동작구,백반·죽·국수,72,8,28,44,0.388889,-0.852647,72.833333,9.069444
종로구,백반·죽·국수,54,6,21,33,0.388889,-0.252508,70.685185,8.722222
동대문구,치킨,18,2,7,11,0.388889,14.658163,333.777778,43.055556
금천구,치킨,18,2,7,11,0.388889,0.72869,150.277778,20.777778
마포구,백반·죽·국수,45,5,16,29,0.355556,2.453091,99.755556,11.488889
관악구,백반·죽·국수,90,10,32,58,0.355556,-0.763768,77.766667,12.522222
동대문구,백반·죽·국수,45,5,15,30,0.333333,-0.724962,71.533333,8.933333
노원구,치킨,9,1,3,6,0.333333,-1.33324,414.222222,56.444444
금천구,피자,9,1,3,6,0.333333,0.787506,1.555556,0.555556
성북구,백반·죽·국수,45,5,14,31,0.311111,-0.785156,75.088889,10.377778
양천구,백반·죽·국수,117,13,36,81,0.307692,-0.942635,75.675214,8.692308
광진구,치킨,18,2,5,13,0.277778,-1.586343,234.111111,32.833333
구로구,백반·죽·국수,54,6,15,39,0.277778,-0.977142,147.351852,14.203704
광진구,백반·죽·국수,45,5,12,33,0.266667,0.403128,38.733333,6.155556
강동구,치킨,27,3,7,20,0.259259,4.370177,287.148148,45.888889
강남구,피자,27,3,7,20,0.259259,-0.912397,28.666667,0.962963
강동구,백반·죽·국수,36,4,9,27,0.25,-1.065367,57.194444,7.694444
강서구,치킨,54,6,13,41,0.240741,-0.338546,245.796296,21.259259
강남구,치킨,63,7,15,48,0.238095,-1.344909,417.825397,32.936508
중랑구,치킨,36,4,8,28,0.222222,2.48656,230.194444,10.25
광진구,피자,9,1,2,7,0.222222,-0.973485,1.777778,0.0
강북구,백반·죽·국수,9,1,2,7,0.222222,-0.998774,33.444444,10.111111
중랑구,백반·죽·국수,27,3,6,21,0.222222,-0.946891,34.592593,2.333333
송파구,치킨,18,2,4,14,0.222222,-1.26768,591.388889,85.166667
성동구,백반·죽·국수,54,6,11,43,0.203704,-0.993027,58.148148,6.425926
서초구,백반·죽·국수,36,4,7,29,0.194444,1.85018,6.583333,1.027778
성북구,치킨,27,3,5,22,0.185185,-1.566654,83.962963,28.333333
강서구,피자,36,4,6,30,0.166667,-0.606002,4.472222,0.666667
구로구,치킨,18,2,3,15,0.166667,1.044628,74.388889,31.888889
서대문구,치킨,18,2,3,15,0.166667,-1.44679,0.0,49.222222
도봉구,치킨,9,1,1,8,0.111111,-1.681876,456.666667,97.444444
마포구,피자,9,1,1,8,0.111111,-0.856843,0.111111,0.111111
마포구,치킨,27,3,3,24,0.111111,3.431549,1.0,15.444444
은평구,치킨,54,6,6,48,0.111111,-1.570559,67.814815,5.314815
성북구,피자,9,1,1,8,0.111111,-0.763121,0.333333,0.111111
은평구,피자,36,4,3,33,0.083333,-0.766808,0.194444,0.027778
동작구,피자,9,1,0,9,0.0,-0.826063,0.0,0.0
송파구,피자,9,1,0,9,0.0,-0.826063,0.0,0.0
동작구,치킨,9,1,0,9,0.0,-1.580233,0.0,0.0
중구,치킨,9,1,0,9,0.0,-1.580233,0.0,0.0
중구,피자,9,1,0,9,0.0,-0.826063,0.0,0.0
