sido,rows,stores,growth_label_1,growth_label_0,growth_rate,avg_growth_alpha,avg_order_count,avg_review_count
세종특별자치시,153,17,54,99,0.352941,-0.253837,61.248366,7.346405
전북특별자치도,180,20,60,120,0.333333,-0.843978,95.772222,5.922222
대구광역시,792,88,261,531,0.329545,-0.425006,95.417929,12.994949
서울특별시,1899,211,608,1291,0.320169,-0.247378,112.739336,14.002633
충청남도,297,33,94,203,0.316498,0.146823,76.505051,8.690236
경기도,3033,337,939,2094,0.309594,0.072236,75.576327,8.205077
경상북도,612,68,189,423,0.308824,-0.506931,130.77451,8.893791
대전광역시,378,42,114,264,0.301587,-0.388975,110.396825,10.690476
광주광역시,342,38,103,239,0.30117,-0.244486,101.207602,12.336257
울산광역시,252,28,74,178,0.293651,0.275508,176.686508,24.130952
부산광역시,873,97,254,619,0.290951,2.445299,120.264605,15.138603
충청북도,342,38,98,244,0.28655,-0.273052,113.061404,10.345029
전라남도,342,38,96,246,0.280702,-0.174008,90.643275,6.736842
인천광역시,639,71,177,462,0.276995,-0.472473,92.599374,8.826291
경상남도,756,84,190,566,0.251323,-0.159592,101.96164,8.510582
강원특별자치도,198,22,39,159,0.19697,-1.122851,91.737374,5.934343
제주특별자치도,126,14,15,111,0.119048,-1.040253,49.230159,5.031746
