platform_shop_id,year_month,shop_name,brand,category,sido,sigungu,experiment_group,final_growth_probability,probability_score,growth_alpha_score,review_growth_score,operation_score,stability_score,market_fit_score,gromong_score,grade,historical_internal_growth_alpha,historical_review_growth_3m,reply_rate,avg_reply_delay_hours,order_count,sales_amount,review_count,is_seoul_external,market_q4_avg_ticket,store_vs_market_ticket_ratio,brand_percentile_score,category_percentile_score,calibrated_score,calibrated_grade,overall_rank,calibrated_rank,brand_rank,category_rank,rank_change,recommendation_track,recommendation_reason
ba_14462203,2025-09,본죽&비빔밥 동대구시장점,본그룹,백반·죽·국수,대구광역시,동구,실험군,0.8239567113211992,82.39567113211992,87.32797747856178,100.0,98.9488061963524,89.48882469324059,50.0,89.46,A,2.058607,5.5,1.0,63.3,144,3209000.0,5,0,,,98.7547,98.7547,94.1073,A,11,11,11,11,0,brand_balanced,본그룹 브랜드 내부 보정 점수 상위 후보
ba_13219951,2025-09,본죽&비빔밥 순천연향점,본그룹,백반·죽·국수,전라남도,순천시,실험군,0.835288199259922,83.52881992599221,91.61067336238119,100.0,96.34057871851276,78.64986507395915,50.0,89.45,A,2.25178,11.2,1.0,150.43,108,2333000.0,13,0,,,98.6301,98.6301,94.0401,A,12,12,12,12,0,brand_balanced,본그룹 브랜드 내부 보정 점수 상위 후보
ba_14690680,2025-09,본죽&비빔밥 김해율하2지구점,본그룹,백반·죽·국수,경상남도,김해시,실험군,0.9765919577383254,97.65919577383254,81.09478634713187,100.0,97.23922429276669,51.004231520302184,50.0,89.14,A,1.777456,3.0,1.0,120.41,643,16295500.0,40,0,,,98.5056,98.5056,93.8228,A,13,14,13,13,-1,brand_balanced,본그룹 브랜드 내부 보정 점수 상위 후보
ba_14691080,2025-09,본죽&비빔밥 대전유성온천역점,본그룹,백반·죽·국수,대전광역시,유성구,실험군,0.9921068502195304,99.21068502195304,80.98985450045497,100.0,96.22802351001194,46.151935767339445,50.0,89.02,A,1.772723,6.277778,1.0,154.19,865,20759900.0,37,0,,,98.3811,98.3811,93.7005,A,14,15,14,14,-1,brand_balanced,본그룹 브랜드 내부 보정 점수 상위 후보
ba_14690155,2025-09,본죽&비빔밥 김포걸포점,본그룹,백반·죽·국수,경기도,김포시,실험군,0.9172729463985956,91.72729463985956,100.0,86.8421052631579,73.50611321206564,73.35956107509405,50.0,88.49,A,3.667783,2.5,0.7692,412.08,310,8100800.0,13,0,,,98.2565,98.2565,93.3733,A,15,17,15,15,-2,brand_balanced,본그룹 브랜드 내부 보정 점수 상위 후보
ba_13248384,2025-09,본죽&비빔밥 구리인창점,본그룹,백반·죽·국수,경기도,구리시,실험군,0.968667565308182,96.8667565308182,100.0,100.0,100.0,92.77216682331932,50.0,98.18,A,3.252224,5.0,1.0,16.03,57,1173800.0,1,0,,,100.0000,100.0000,99.0900,A,1,1,1,1,0,category_balanced,백반·죽·국수 카테고리 내부 보정 점수 상위 후보
ba_14689004,2025-09,본죽&비빔밥 산본학원가점,본그룹,백반·죽·국수,경기도,군포시,실험군,0.902457244085681,90.2457244085681,100.0,100.0,96.30495619241809,67.94166104656522,50.0,92.83,A,3.658348,6.727273,1.0,151.62,263,6785700.0,30,0,,,99.8755,99.8755,96.3527,A,2,2,2,2,0,category_balanced,백반·죽·국수 카테고리 내부 보정 점수 상위 후보
ba_14694390,2025-09,본죽&비빔밥 평택시청점,본그룹,백반·죽·국수,경기도,평택시,실험군,0.9688053400131862,96.88053400131862,97.39473934063538,100.0,98.83224604089621,39.9838151108264,50.0,92.08,A,2.512673,6.734177,0.99,45.48,617,15612400.0,200,0,,,99.7509,99.7509,95.9155,A,3,3,3,3,0,category_balanced,백반·죽·국수 카테고리 내부 보정 점수 상위 후보
ba_14756888,2025-09,본죽&비빔밥 창원대원점,본그룹,백반·죽·국수,경상남도,창원시,실험군,0.9326755449665516,93.26755449665515,100.0,100.0,98.21001296608632,44.0054451187881,50.0,91.78,A,3.817406,9.076923,1.0,87.98,445,8404500.0,18,0,,,99.6264,99.6264,95.7032,A,4,4,4,4,0,category_balanced,백반·죽·국수 카테고리 내부 보정 점수 상위 후보
ba_14692155,2025-09,본죽&비빔밥 해운대백병원점,본그룹,백반·죽·국수,부산광역시,해운대구,실험군,0.9461204724135877,94.61204724135877,100.0,100.0,97.50145398065692,39.81134886180272,50.0,91.72,A,2.95417,5.5,1.0,111.65,441,11358300.0,62,0,,,99.5019,99.5019,95.6109,A,5,5,5,5,0,category_balanced,백반·죽·국수 카테고리 내부 보정 점수 상위 후보
