universe,dimension,group,count,share
original_all,brand,굽네치킨,442,0.3547
original_all,brand,본그룹,804,0.6453
original_all,category,백반·죽·국수,804,0.6453
original_all,category,치킨,309,0.2480
original_all,category,피자,133,0.1067
current_top100,brand,굽네치킨,8,0.0800
current_top100,brand,본그룹,92,0.9200
current_top100,category,백반·죽·국수,92,0.9200
current_top100,category,치킨,7,0.0700
current_top100,category,피자,1,0.0100
calibrated_top100,brand,굽네치킨,16,0.1600
calibrated_top100,brand,본그룹,84,0.8400
calibrated_top100,category,백반·죽·국수,84,0.8400
calibrated_top100,category,치킨,11,0.1100
calibrated_top100,category,피자,5,0.0500
balanced_recommendations,brand,굽네치킨,20,0.5714
balanced_recommendations,brand,본그룹,15,0.4286
balanced_recommendations,category,백반·죽·국수,15,0.4286
balanced_recommendations,category,치킨,10,0.2857
balanced_recommendations,category,피자,10,0.2857
