model,split,probability_band,rows,avg_predicted_probability,actual_growth_rate,calibration_gap,hits,cumulative_hits,cumulative_capture_rate
baseline,time,1,250,0.9686929002040129,0.392,-0.5766929002040129,98,98,0.1211372064276885
baseline,time,2,249,0.9125907947974602,0.4457831325301205,-0.4668076622673397,111,209,0.2583436341161928
baseline,time,3,249,0.8537564575636183,0.357429718875502,-0.4963267386881163,89,298,0.3683559950556242
baseline,time,4,249,0.8032440863323456,0.3373493975903614,-0.46589468874198414,84,382,0.4721878862793572
baseline,time,5,249,0.721733785602686,0.40160642570281124,-0.32012735989987473,100,482,0.595797280593325
baseline,time,6,249,0.5350900431069564,0.3895582329317269,-0.14553181017522948,97,579,0.715698393077874
baseline,time,7,249,0.40290486618122057,0.321285140562249,-0.08161972561897157,80,659,0.8145859085290482
baseline,time,8,249,0.30037703548799993,0.25301204819277107,-0.047364987295228866,63,722,0.892459826946848
baseline,time,9,249,0.17603978391760658,0.24497991967871485,0.06894013576110827,61,783,0.9678615574783683
baseline,time,10,250,0.08460708086854381,0.104,0.019392919131456188,26,809,1.0
growth_alpha,time,1,250,0.9684579447860421,0.392,-0.5764579447860421,98,98,0.1211372064276885
growth_alpha,time,2,249,0.91199879534612,0.4497991967871486,-0.46219959855897147,112,210,0.2595797280593325
growth_alpha,time,3,249,0.8530121334155614,0.3614457831325301,-0.49156635028303125,90,300,0.37082818294190356
growth_alpha,time,4,249,0.8019662193320054,0.3333333333333333,-0.4686328859986721,83,383,0.47342398022249693
growth_alpha,time,5,249,0.7211830113153078,0.39759036144578314,-0.3235926498695247,99,482,0.595797280593325
growth_alpha,time,6,249,0.5340405877895853,0.3895582329317269,-0.14448235485785837,97,579,0.715698393077874
growth_alpha,time,7,249,0.4014621622950784,0.3293172690763052,-0.07214489321877321,82,661,0.8170580964153276
growth_alpha,time,8,249,0.3005078324257028,0.24899598393574296,-0.05151184848995982,62,723,0.8936959208899876
growth_alpha,time,9,249,0.17661867158487626,0.24497991967871485,0.06836124809383859,61,784,0.969097651421508
growth_alpha,time,10,250,0.0847090075354836,0.1,0.0152909924645164,25,809,1.0
growth_alpha_nlp,time,1,250,0.9717370955074446,0.388,-0.5837370955074446,97,97,0.11990111248454882
growth_alpha_nlp,time,2,249,0.917224055133862,0.46987951807228917,-0.4473445370615728,117,214,0.26452410383189123
growth_alpha_nlp,time,3,249,0.8578008949247387,0.357429718875502,-0.5003711760492366,89,303,0.37453646477132263
growth_alpha_nlp,time,4,249,0.802352117449166,0.3614457831325301,-0.4409063343166359,90,393,0.4857849196538937
growth_alpha_nlp,time,5,249,0.7163298070992169,0.37751004016064255,-0.33881976693857435,94,487,0.6019777503090235
growth_alpha_nlp,time,6,249,0.5432459558301661,0.3855421686746988,-0.1577037871554673,96,583,0.7206427688504327
growth_alpha_nlp,time,7,249,0.3688324889408639,0.3614457831325301,-0.007386705808333782,90,673,0.8318912237330037
growth_alpha_nlp,time,8,249,0.2738589076208659,0.2248995983935743,-0.04895930922729161,56,729,0.9011124845488258
growth_alpha_nlp,time,9,249,0.16721735242544197,0.20883534136546184,0.04161798894001986,52,781,0.965389369592089
growth_alpha_nlp,time,10,250,0.0760432699503501,0.112,0.0359567300496499,28,809,1.0
growth_alpha_nlp_without_text_count,time,1,250,0.968689681919449,0.396,-0.572689681919449,99,99,0.12237330037082818
growth_alpha_nlp_without_text_count,time,2,249,0.9145556338626368,0.4578313253012048,-0.45672430856143204,114,213,0.26328800988875156
growth_alpha_nlp_without_text_count,time,3,249,0.8595252976623083,0.3534136546184739,-0.5061116430438344,88,301,0.3720642768850433
growth_alpha_nlp_without_text_count,time,4,249,0.8015393860138975,0.37349397590361444,-0.4280454101102831,93,394,0.48702101359703337
growth_alpha_nlp_without_text_count,time,5,249,0.7135448697209937,0.3895582329317269,-0.3239866367892668,97,491,0.6069221260815822
growth_alpha_nlp_without_text_count,time,6,249,0.5388071157605113,0.37349397590361444,-0.16531313985689688,93,584,0.7218788627935723
growth_alpha_nlp_without_text_count,time,7,249,0.37438088905370315,0.3453815261044177,-0.028999362949285457,86,670,0.8281829419035847
growth_alpha_nlp_without_text_count,time,8,249,0.28070999944423614,0.24899598393574296,-0.031714015508493176,62,732,0.9048207663782447
growth_alpha_nlp_without_text_count,time,9,249,0.16873140534047842,0.19678714859437751,0.02805574325389909,49,781,0.965389369592089
growth_alpha_nlp_without_text_count,time,10,250,0.07740556948523811,0.112,0.034594430514761895,28,809,1.0
growth_alpha_nlp_no_reply_related,time,1,250,0.9709193318062321,0.416,-0.5549193318062322,104,104,0.12855377008652658
growth_alpha_nlp_no_reply_related,time,2,249,0.9000735951632525,0.44176706827309237,-0.4583065268901601,110,214,0.26452410383189123
growth_alpha_nlp_no_reply_related,time,3,249,0.8167145112964487,0.3815261044176707,-0.43518840687877797,95,309,0.3819530284301607
growth_alpha_nlp_no_reply_related,time,4,249,0.7280030663179724,0.37751004016064255,-0.35049302615732986,94,403,0.49814585908529047
growth_alpha_nlp_no_reply_related,time,5,249,0.6412798430359947,0.3092369477911647,-0.33204289524483005,77,480,0.5933250927070457
growth_alpha_nlp_no_reply_related,time,6,249,0.544329842708092,0.37349397590361444,-0.1708358668044776,93,573,0.7082818294190358
growth_alpha_nlp_no_reply_related,time,7,249,0.42233238746802804,0.18875502008032127,-0.23357736738770676,47,620,0.7663782447466008
growth_alpha_nlp_no_reply_related,time,8,249,0.27036297829876466,0.3373493975903614,0.06698641929159677,84,704,0.8702101359703337
growth_alpha_nlp_no_reply_related,time,9,249,0.15978205496860154,0.321285140562249,0.16150308559364746,80,784,0.969097651421508
growth_alpha_nlp_no_reply_related,time,10,250,0.07733069431891292,0.1,0.02266930568108709,25,809,1.0
growth_alpha_nlp_no_treatment_proxy,time,1,250,0.9649272513848455,0.388,-0.5769272513848455,97,97,0.11990111248454882
growth_alpha_nlp_no_treatment_proxy,time,2,249,0.8898639157204182,0.4578313253012048,-0.43203259041921344,114,211,0.26081582200247216
growth_alpha_nlp_no_treatment_proxy,time,3,249,0.8094789259767586,0.36947791164658633,-0.4400010143301723,92,303,0.37453646477132263
growth_alpha_nlp_no_treatment_proxy,time,4,249,0.738298956231396,0.3614457831325301,-0.37685317309886585,90,393,0.4857849196538937
growth_alpha_nlp_no_treatment_proxy,time,5,249,0.646337534554902,0.41365461847389556,-0.23268291608100639,103,496,0.6131025957972805
growth_alpha_nlp_no_treatment_proxy,time,6,249,0.497440141218399,0.40963855421686746,-0.08780158700153157,102,598,0.7391841779975278
growth_alpha_nlp_no_treatment_proxy,time,7,249,0.29889512903391907,0.43775100401606426,0.1388558749821452,109,707,0.8739184177997528
growth_alpha_nlp_no_treatment_proxy,time,8,249,0.19805096518839094,0.21285140562248997,0.014800440434099033,53,760,0.9394313967861557
growth_alpha_nlp_no_treatment_proxy,time,9,249,0.1562819230321147,0.08835341365461848,-0.06792850937749621,22,782,0.9666254635352287
growth_alpha_nlp_no_treatment_proxy,time,10,250,0.11072789702099933,0.108,-0.002727897020999334,27,809,1.0
