model,top_n,hits,precision_at_n,recall_at_n,lift_at_n
baseline,20,7,0.35,0.00865265760197775,1.0781211372064277
baseline,50,17,0.34,0.021013597033374538,1.0473176761433869
baseline,100,40,0.4,0.049443757725587144,1.2321384425216317
baseline,200,79,0.395,0.09765142150803462,1.2167367119901114
growth_alpha,20,7,0.35,0.00865265760197775,1.0781211372064277
growth_alpha,50,17,0.34,0.021013597033374538,1.0473176761433869
growth_alpha,100,42,0.42,0.0519159456118665,1.2937453646477133
growth_alpha,200,81,0.405,0.10012360939431397,1.2475401730531521
growth_alpha_nlp,20,7,0.35,0.00865265760197775,1.0781211372064277
growth_alpha_nlp,50,16,0.32,0.019777503090234856,0.9857107540173053
growth_alpha_nlp,100,40,0.4,0.049443757725587144,1.2321384425216317
growth_alpha_nlp,200,78,0.39,0.09641532756489493,1.201334981458591
growth_alpha_nlp_without_text_count,20,7,0.35,0.00865265760197775,1.0781211372064277
growth_alpha_nlp_without_text_count,50,15,0.3,0.018541409147095178,0.9241038318912237
growth_alpha_nlp_without_text_count,100,41,0.41,0.05067985166872682,1.2629419035846723
growth_alpha_nlp_without_text_count,200,77,0.385,0.09517923362175525,1.1859332509270706
growth_alpha_nlp_no_reply_related,20,7,0.35,0.00865265760197775,1.0781211372064277
growth_alpha_nlp_no_reply_related,50,17,0.34,0.021013597033374538,1.0473176761433869
growth_alpha_nlp_no_reply_related,100,42,0.42,0.0519159456118665,1.2937453646477133
growth_alpha_nlp_no_reply_related,200,78,0.39,0.09641532756489493,1.201334981458591
growth_alpha_nlp_no_treatment_proxy,20,8,0.4,0.009888751545117428,1.2321384425216317
growth_alpha_nlp_no_treatment_proxy,50,15,0.3,0.018541409147095178,0.9241038318912237
growth_alpha_nlp_no_treatment_proxy,100,42,0.42,0.0519159456118665,1.2937453646477133
growth_alpha_nlp_no_treatment_proxy,200,77,0.385,0.09517923362175525,1.1859332509270706
