platform_shop_id,year_month,review_id,rating,sentiment_score,positive_hits,negative_hits,review_length,token_count,exclamation_count,question_count,positive_hit_count,negative_hit_count,sentiment_abs,mixed_sentiment_flag,has_reply,reply_length,reply_token_count,reply_contains_coupon,reply_coupon_flag,reply_template_score,reply_ai_like_score,taste,portion,delivery,price,service,reorder,growth_label_top30,category,brand
ba_10015935,2025-07,ba_2025072802176249,5.0,1.0,맛|맛있|맛있어,,5,1,1,0,3,0,1.0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,1,치킨,굽네치킨
ba_10015935,2025-07,ba_2025080102651906,5.0,0.8,맛|맛있|맛있게,아쉽,32,7,0,0,3,1,0.8,1,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,1,치킨,굽네치킨
ba_10015935,2025-08,ba_2025080402832930,5.0,1.0,맛|맛|맛있|맛있게|좋|좋,적,118,28,0,0,6,1,1.0,1,0,0,0,0,0,0.0,0.0,1,1,0,0,0,0,1,치킨,굽네치킨
ba_10015935,2025-08,ba_2025080602931305,5.0,0.0,,,15,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,치킨,굽네치킨
ba_10015935,2025-08,ba_2025080902033248,5.0,0.8,맛|맛있|잘 먹,아쉬,84,21,0,0,3,1,0.8,1,0,0,0,0,0,0.0,0.0,1,1,0,0,0,0,1,치킨,굽네치킨
ba_10015935,2025-08,ba_2025081500770243,5.0,1.0,맛|맛있|맛있네요|바삭,,26,6,0,0,4,0,1.0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,1,치킨,굽네치킨
ba_10015935,2025-09,ba_2025092102694223,5.0,0.2,빠르,,13,4,0,0,1,0,0.2,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,1,치킨,굽네치킨
ba_10015935,2025-09,ba_2025092201646915,5.0,1.0,맛|맛있|맛있네요,,14,3,0,0,3,0,1.0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,1,치킨,굽네치킨
ba_10015935,2025-09,ba_2025092401884049,4.0,0.0,,,6,1,0,1,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,치킨,굽네치킨
ba_10015935,2025-09,ba_2025092601584127,5.0,0.2,감사,,5,1,0,0,1,0,0.2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,1,치킨,굽네치킨
ba_10015935,2025-09,ba_2025092601723314,5.0,1.0,맛|맛있|맛있게|잘 먹,,38,10,3,0,4,0,1.0,0,0,0,0,0,0,0.0,0.0,1,1,0,0,0,0,1,치킨,굽네치킨
ba_10015935,2025-08,ba_2025082502764701,5.0,0.8,굿|굿,,7,2,0,0,2,0,0.8,0,1,227,54,0,0,0.14285714285714285,0.16666666666666666,0,0,0,0,0,0,1,치킨,굽네치킨
ba_10015935,2025-08,ba_2025082702932226,5.0,0.8,맛|좋|친절,,22,5,0,0,3,0,0.8,0,1,227,54,0,0,0.14285714285714285,0.16666666666666666,1,0,1,0,1,0,1,치킨,굽네치킨
ba_10015935,2025-08,ba_2025082803015413,5.0,1.0,맛|맛있|맛있게,,10,2,0,0,3,0,1.0,0,1,227,54,0,0,0.14285714285714285,0.16666666666666666,1,0,0,0,0,0,1,치킨,굽네치킨
ba_10015935,2025-09,ba_2025090902607187,5.0,1.0,맛|맛있|맛있어,,27,7,0,0,3,0,1.0,0,1,227,54,0,0,0.14285714285714285,0.16666666666666666,1,0,0,0,0,0,1,치킨,굽네치킨
