platform_shop_id,shop_name,brand,category,final_growth_probability,gromong_score,grade,probability_band,band_calibrated_probability,scenario,scenario_role,assumed_monthly_lift_orders,gross_margin_per_order,monthly_program_cost,break_even_probability,expected_incremental_orders,expected_incremental_orders_calibrated,expected_monthly_margin,expected_monthly_margin_calibrated,expected_monthly_roi,expected_monthly_roi_calibrated,roi_per_cost,roi_per_cost_calibrated
ba_14692232,본죽 아산용화점,본그룹,백반·죽·국수,0.8994487013446493,93.25,A,2,0.4698795180722891,base,main,100,3000,120000,0.4,89.94487013446492,46.98795180722891,269834.61040339473,140963.85542168672,149834.61040339473,20963.85542168672,1.2486217533616228,0.17469879518072268
ba_14689004,본죽&비빔밥 산본학원가점,본그룹,백반·죽·국수,0.9142373510323448,93.24,A,2,0.4698795180722891,base,main,100,3000,120000,0.4,91.42373510323448,46.98795180722891,274271.2053097034,140963.85542168672,154271.20530970342,20963.85542168672,1.285593377580862,0.17469879518072268
ba_14692455,본죽&비빔밥 천안신불당북부점,본그룹,백반·죽·국수,0.9225104470505164,91.55,A,2,0.4698795180722891,base,main,100,3000,120000,0.4,92.25104470505164,46.98795180722891,276753.1341151549,140963.85542168672,156753.1341151549,20963.85542168672,1.306276117626291,0.17469879518072268
ba_14692155,본죽&비빔밥 해운대백병원점,본그룹,백반·죽·국수,0.938372851859358,91.45,A,2,0.4698795180722891,base,main,100,3000,120000,0.4,93.8372851859358,46.98795180722891,281511.8555578074,140963.85542168672,161511.85555780737,20963.85542168672,1.3459321296483948,0.17469879518072268
ba_14756888,본죽&비빔밥 창원대원점,본그룹,백반·죽·국수,0.9201592271167376,91.34,A,2,0.4698795180722891,base,main,100,3000,120000,0.4,92.01592271167375,46.98795180722891,276047.76813502127,140963.85542168672,156047.76813502127,20963.85542168672,1.3003980677918439,0.17469879518072268
ba_14691001,본죽&비빔밥 광주연제점,본그룹,백반·죽·국수,0.8968710138745969,89.88,A,2,0.4698795180722891,base,main,100,3000,120000,0.4,89.68710138745969,46.98795180722891,269061.30416237906,140963.85542168672,149061.30416237906,20963.85542168672,1.2421775346864923,0.17469879518072268
ba_13235557,본죽 도봉동점,본그룹,백반·죽·국수,0.926272824351325,88.61,A,2,0.4698795180722891,base,main,100,3000,120000,0.4,92.6272824351325,46.98795180722891,277881.8473053975,140963.85542168672,157881.8473053975,20963.85542168672,1.3156820608783126,0.17469879518072268
ba_14689003,본죽&비빔밥 구리인창점,본그룹,백반·죽·국수,0.9247861703138344,88.53,A,2,0.4698795180722891,base,main,100,3000,120000,0.4,92.47861703138344,46.98795180722891,277435.85109415033,140963.85542168672,157435.85109415033,20963.85542168672,1.311965425784586,0.17469879518072268
ba_14746052,본죽&비빔밥 포항두호점,본그룹,백반·죽·국수,0.9338534963871188,87.99,A,2,0.4698795180722891,base,main,100,3000,120000,0.4,93.38534963871187,46.98795180722891,280156.0489161356,140963.85542168672,160156.04891613562,20963.85542168672,1.3346337409677969,0.17469879518072268
ba_14689953,본죽&비빔밥 양주고읍점,본그룹,백반·죽·국수,0.914218541983808,87.77,A,2,0.4698795180722891,base,main,100,3000,120000,0.4,91.4218541983808,46.98795180722891,274265.5625951424,140963.85542168672,154265.5625951424,20963.85542168672,1.28554635495952,0.17469879518072268
ba_14690155,본죽&비빔밥 김포걸포점,본그룹,백반·죽·국수,0.8894908879731753,87.52,A,2,0.4698795180722891,base,main,100,3000,120000,0.4,88.94908879731753,46.98795180722891,266847.2663919526,140963.85542168672,146847.26639195258,20963.85542168672,1.223727219932938,0.17469879518072268
ba_14691298,본죽&비빔밥 대전전민동점,본그룹,백반·죽·국수,0.9362851931331634,87.51,A,2,0.4698795180722891,base,main,100,3000,120000,0.4,93.62851931331633,46.98795180722891,280885.557939949,140963.85542168672,160885.55793994898,20963.85542168672,1.340712982832908,0.17469879518072268
ba_14688860,본죽&비빔밥 수색DMC점,본그룹,백반·죽·국수,0.9251015523156813,87.02,A,2,0.4698795180722891,base,main,100,3000,120000,0.4,92.51015523156812,46.98795180722891,277530.4656947044,140963.85542168672,157530.46569470438,20963.85542168672,1.3127538807892032,0.17469879518072268
ba_14691173,본죽&비빔밥 대구복현동점,본그룹,백반·죽·국수,0.8974522381613861,85.58,A,2,0.4698795180722891,base,main,100,3000,120000,0.4,89.7452238161386,46.98795180722891,269235.67144841584,140963.85542168672,149235.67144841584,20963.85542168672,1.2436305954034654,0.17469879518072268
ba_14691999,본죽&비빔밥 부산동래점,본그룹,백반·죽·국수,0.8923847434433524,85.15,A,2,0.4698795180722891,base,main,100,3000,120000,0.4,89.23847434433524,46.98795180722891,267715.42303300573,140963.85542168672,147715.42303300573,20963.85542168672,1.230961858608381,0.17469879518072268
