platform_shop_id,shop_name,brand,category,final_growth_probability,gromong_score,grade,probability_band,band_calibrated_probability,scenario,scenario_role,assumed_monthly_lift_orders,gross_margin_per_order,monthly_program_cost,break_even_probability,expected_incremental_orders,expected_incremental_orders_calibrated,expected_monthly_margin,expected_monthly_margin_calibrated,expected_monthly_roi,expected_monthly_roi_calibrated,roi_per_cost,roi_per_cost_calibrated
ba_13248384,본죽&비빔밥 구리인창점,본그룹,백반·죽·국수,0.9589261677949172,97.84,A,1,0.388,base,main,100,3000,120000,0.4,95.89261677949172,38.800000000000004,287677.85033847514,116400.00000000001,167677.85033847514,-3599.9999999999854,1.3973154194872928,-0.029999999999999877
ba_14692232,본죽 아산용화점,본그룹,백반·죽·국수,0.8994487013446493,93.25,A,2,0.4698795180722891,base,main,100,3000,120000,0.4,89.94487013446492,46.98795180722891,269834.61040339473,140963.85542168672,149834.61040339473,20963.85542168672,1.2486217533616228,0.17469879518072268
ba_14689004,본죽&비빔밥 산본학원가점,본그룹,백반·죽·국수,0.9142373510323448,93.24,A,2,0.4698795180722891,base,main,100,3000,120000,0.4,91.42373510323448,46.98795180722891,274271.2053097034,140963.85542168672,154271.20530970342,20963.85542168672,1.285593377580862,0.17469879518072268
ba_14694390,본죽&비빔밥 평택시청점,본그룹,백반·죽·국수,0.9770431362518038,92.37,A,1,0.388,base,main,100,3000,120000,0.4,97.70431362518039,38.800000000000004,293112.9408755412,116400.00000000001,173112.9408755412,-3599.9999999999854,1.44260784062951,-0.029999999999999877
ba_13470236,본죽&비빔밥 신제주점,본그룹,백반·죽·국수,0.8311467441237247,91.95,A,4,0.3614457831325301,base,main,100,3000,120000,0.4,83.11467441237247,36.144578313253014,249344.0232371174,108433.73493975904,129344.02323711739,-11566.265060240956,1.0778668603093116,-0.09638554216867463
ba_14692455,본죽&비빔밥 천안신불당북부점,본그룹,백반·죽·국수,0.9225104470505164,91.55,A,2,0.4698795180722891,base,main,100,3000,120000,0.4,92.25104470505164,46.98795180722891,276753.1341151549,140963.85542168672,156753.1341151549,20963.85542168672,1.306276117626291,0.17469879518072268
ba_14692155,본죽&비빔밥 해운대백병원점,본그룹,백반·죽·국수,0.938372851859358,91.45,A,2,0.4698795180722891,base,main,100,3000,120000,0.4,93.8372851859358,46.98795180722891,281511.8555578074,140963.85542168672,161511.85555780737,20963.85542168672,1.3459321296483948,0.17469879518072268
ba_14756888,본죽&비빔밥 창원대원점,본그룹,백반·죽·국수,0.9201592271167376,91.34,A,2,0.4698795180722891,base,main,100,3000,120000,0.4,92.01592271167375,46.98795180722891,276047.76813502127,140963.85542168672,156047.76813502127,20963.85542168672,1.3003980677918439,0.17469879518072268
ba_13219951,본죽&비빔밥 순천연향점,본그룹,백반·죽·국수,0.8618140027058363,90.38,A,3,0.357429718875502,base,main,100,3000,120000,0.4,86.18140027058362,35.7429718875502,258544.20081175087,107228.91566265059,138544.20081175087,-12771.084337349414,1.1545350067645905,-0.10642570281124511
ba_14691001,본죽&비빔밥 광주연제점,본그룹,백반·죽·국수,0.8968710138745969,89.88,A,2,0.4698795180722891,base,main,100,3000,120000,0.4,89.68710138745969,46.98795180722891,269061.30416237906,140963.85542168672,149061.30416237906,20963.85542168672,1.2421775346864923,0.17469879518072268
ba_14688738,본죽&비빔밥 분당롯데점,본그룹,백반·죽·국수,0.8311575128242759,89.73,A,4,0.3614457831325301,base,main,100,3000,120000,0.4,83.11575128242758,36.144578313253014,249347.25384728276,108433.73493975904,129347.25384728276,-11566.265060240956,1.0778937820606898,-0.09638554216867463
ba_14690680,본죽&비빔밥 김해율하2지구점,본그룹,백반·죽·국수,0.9825668002250048,89.35,A,1,0.388,base,main,100,3000,120000,0.4,98.25668002250048,38.800000000000004,294770.0400675014,116400.00000000001,174770.04006750142,-3599.9999999999854,1.4564170005625119,-0.029999999999999877
