component,band,band_rank_direction,rows,score_min,score_max,score_mean,actual_growth_rate
probability_score,1,1=highest_score,250,88.70491694679697,99.80122249847446,94.23687628040977,0.224
probability_score,2,1=highest_score,249,78.39119588750724,88.66448680756704,83.57681611837286,0.27309236947791166
probability_score,3,1=highest_score,249,50.46250430110632,78.38378391651437,67.74037749665675,0.3413654618473896
probability_score,4,1=highest_score,249,26.835158744762676,50.35700204331223,35.944095164366225,0.2248995983935743
probability_score,5,1=highest_score,249,2.7503850644076,26.80400485274706,14.515648941301858,0.24096385542168675
growth_alpha_score,1,1=highest_score,250,58.210265751042265,100.0,81.2666434285378,0.096
growth_alpha_score,2,1=highest_score,249,38.054638276390776,57.57295942005257,45.813723995988305,0.13253012048192772
growth_alpha_score,3,1=highest_score,249,33.24577558141926,38.054638276390776,36.9901751171577,0.17269076305220885
growth_alpha_score,4,1=highest_score,249,3.205138046734583,33.18298940145117,21.54655327391818,0.39357429718875503
growth_alpha_score,5,1=highest_score,249,0.0,3.1651428953707232,0.9828711219051937,0.5100401606425703
review_growth_score,1,1=highest_score,250,50.0,100.0,70.1617545263158,0.184
review_growth_score,2,1=highest_score,249,50.0,50.0,50.0,0.20080321285140562
review_growth_score,3,1=highest_score,249,30.29871052631579,50.0,39.41230109913338,0.26104417670682734
review_growth_score,4,1=highest_score,249,18.128657894736847,30.286236842105264,24.013346755442825,0.3614457831325301
review_growth_score,5,1=highest_score,249,0.0,18.128657894736847,8.684083386176285,0.2971887550200803
operation_score,1,1=highest_score,250,96.89168015162451,100.0,98.34897808776569,0.276
operation_score,2,1=highest_score,249,83.41873782676078,96.89108145370696,93.35092156188945,0.26506024096385544
operation_score,3,1=highest_score,249,50.0,83.01040605403334,60.18311362658581,0.2931726907630522
operation_score,4,1=highest_score,249,50.0,50.0,50.0,0.10040160642570281
operation_score,5,1=highest_score,249,0.4355,50.0,21.880705719687175,0.36947791164658633
stability_score,1,1=highest_score,250,98.67091877356825,100.0,99.89147220676959,0.06
stability_score,2,1=highest_score,249,93.96146266741836,98.62733241718595,96.44841275712571,0.3815261044176707
stability_score,3,1=highest_score,249,85.83598396970359,93.96041602572942,90.40975128017689,0.285140562248996
stability_score,4,1=highest_score,249,62.42377699232151,85.7293296019883,75.99526457922704,0.23694779116465864
stability_score,5,1=highest_score,249,0.0,62.343426119200885,36.02051205405692,0.3413654618473896
gromong_score,1,1=highest_score,250,69.4,97.84,78.91208,0.116
gromong_score,2,1=highest_score,249,59.08,69.39,63.783734939759036,0.27309236947791166
gromong_score,3,1=highest_score,249,46.19,59.07,53.51983935742972,0.3614457831325301
gromong_score,4,1=highest_score,249,36.48,46.16,41.18096385542169,0.20080321285140562
gromong_score,5,1=highest_score,249,15.04,36.48,30.567751004016063,0.3534136546184739
