predicted_priority_rank,platform_shop_id,year_month,shop_name,brand,category,sido,sigungu,predictive_rank_score,decision_band,explanation_index,signal_decomposition_index,action_band,risk_flag,top_positive_signal,top_negative_signal,model_probability_raw,probability_band,probability_score,growth_alpha_score,review_growth_score,operation_score,stability_score,market_fit_score,ranking_basis,score_role
1,ba_14692232,2025-09,본죽 아산용화점,본그룹,백반·죽·국수,충청남도,아산시,0.4698795180722891,Priority Review,93.25,93.25,Immediate Review,none,growth_alpha,market_fit,0.4698795180722891,2,89.94487013446492,100.0,89.47368421052633,96.57227481260756,88.62840235373629,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
2,ba_14689004,2025-09,본죽&비빔밥 산본학원가점,본그룹,백반·죽·국수,경기도,군포시,0.4698795180722891,Priority Review,93.24,93.24,Immediate Review,none,growth_alpha,market_fit,0.4698795180722891,2,91.42373510323448,100.0,100.0,96.30495619241808,67.94166104656522,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
3,ba_14692455,2025-09,본죽&비빔밥 천안신불당북부점,본그룹,백반·죽·국수,충청남도,천안시,0.4698795180722891,Priority Review,91.55,91.55,Immediate Review,none,review_growth,market_fit,0.4698795180722891,2,92.25104470505164,92.554882620383,100.0,97.26826114176824,65.34009033556018,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
4,ba_14692155,2025-09,본죽&비빔밥 해운대백병원점,본그룹,백반·죽·국수,부산광역시,해운대구,0.4698795180722891,Priority Review,91.45,91.45,Immediate Review,stability_risk,growth_alpha,stability,0.4698795180722891,2,93.8372851859358,100.0,100.0,97.50145398065692,39.81134886180272,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
5,ba_14756888,2025-09,본죽&비빔밥 창원대원점,본그룹,백반·죽·국수,경상남도,창원시,0.4698795180722891,Priority Review,91.34,91.34,Immediate Review,none,growth_alpha,stability,0.4698795180722891,2,92.01592271167377,100.0,100.0,98.21001296608632,44.0054451187881,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
6,ba_14691001,2025-09,본죽&비빔밥 광주연제점,본그룹,백반·죽·국수,광주광역시,북구,0.4698795180722891,Priority Review,89.88,89.88,Immediate Review,none,growth_alpha,market_fit,0.4698795180722891,2,89.68710138745969,100.0,73.68421052631578,91.8440580086965,86.59039383870022,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
7,ba_13235557,2025-09,본죽 도봉동점,본그룹,백반·죽·국수,서울특별시,도봉구,0.4698795180722891,Priority Review,88.61,88.61,Immediate Review,none,review_growth,market_fit,0.4698795180722891,2,92.6272824351325,86.32996099641358,100.0,96.98208353717573,96.3794530681316,47.36901257594454,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
8,ba_14689003,2025-09,본죽&비빔밥 구리인창점,본그룹,백반·죽·국수,경기도,구리시,0.4698795180722891,Priority Review,88.53,88.53,Immediate Review,none,operation,market_fit,0.4698795180722891,2,92.47861703138344,93.33070874390118,69.63563157894738,97.69303731427536,77.26229303085596,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
9,ba_14746052,2025-09,본죽&비빔밥 포항두호점,본그룹,백반·죽·국수,경상북도,포항시,0.4698795180722891,Priority Review,87.99,87.99,Immediate Review,none,growth_alpha,market_fit,0.4698795180722891,2,93.38534963871189,94.31928069474064,73.68421052631578,89.73499030109375,72.12301300968483,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
10,ba_14689953,2025-09,본죽&비빔밥 양주고읍점,본그룹,백반·죽·국수,경기도,양주시,0.4698795180722891,Priority Review,87.77,87.77,Immediate Review,none,operation,market_fit,0.4698795180722891,2,91.4218541983808,92.48642085352516,66.37426315789475,96.87222246930388,81.66086344523086,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
11,ba_14690155,2025-09,본죽&비빔밥 김포걸포점,본그룹,백반·죽·국수,경기도,김포시,0.4698795180722891,Priority Review,87.52,87.52,Immediate Review,none,growth_alpha,market_fit,0.4698795180722891,2,88.94908879731753,100.0,86.8421052631579,73.50611321206564,73.35956107509405,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
12,ba_14691298,2025-09,본죽&비빔밥 대전전민동점,본그룹,백반·죽·국수,대전광역시,유성구,0.4698795180722891,Priority Review,87.51,87.51,Immediate Review,none,review_growth,market_fit,0.4698795180722891,2,93.62851931331632,76.74243150234503,100.0,97.2464086677774,59.70400148827807,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
13,ba_14688860,2025-09,본죽&비빔밥 수색DMC점,본그룹,백반·죽·국수,서울특별시,은평구,0.4698795180722891,Priority Review,87.02,87.02,Immediate Review,none,growth_alpha,stability,0.4698795180722891,2,92.51015523156812,100.0,73.68421052631578,96.92221374541997,55.07079291173208,73.87608226592829,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
14,ba_14691173,2025-09,본죽&비빔밥 대구복현동점,본그룹,백반·죽·국수,대구광역시,북구,0.4698795180722891,Priority Review,85.58,85.58,Immediate Review,none,growth_alpha,market_fit,0.4698795180722891,2,89.7452238161386,100.0,69.29823684210528,81.76241100783096,65.0860572738845,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
15,ba_14691999,2025-09,본죽&비빔밥 부산동래점,본그룹,백반·죽·국수,부산광역시,동래구,0.4698795180722891,Priority Review,85.15,85.15,Immediate Review,none,growth_alpha,review_growth,0.4698795180722891,2,89.23847434433524,100.0,47.36842105263158,97.50923705358515,71.89447899445645,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
16,ba_14742705,2025-09,본죽&비빔밥 청주개신점,본그룹,백반·죽·국수,충청북도,청주시,0.4698795180722891,Priority Review,84.79,84.79,Immediate Review,none,growth_alpha,review_growth,0.4698795180722891,2,92.78079544336669,100.0,43.85965789473684,92.67216348558506,68.40849670751528,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
17,ba_14690712,2025-09,본죽&비빔밥 광주운남점,본그룹,백반·죽·국수,광주광역시,광산구,0.4698795180722891,Priority Review,84.69,84.69,Immediate Review,none,growth_alpha,review_growth,0.4698795180722891,2,89.35757950140672,100.0,41.82826315789474,96.14450515051266,77.14374873454618,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
18,ba_14692118,2025-09,본죽&비빔밥 여수소호점,본그룹,백반·죽·국수,전라남도,여수시,0.4698795180722891,Priority Review,84.37,84.37,Immediate Review,none,review_growth,market_fit,0.4698795180722891,2,89.77437426196367,59.62940634635924,100.0,97.80140163735328,83.74820731372408,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
