platform_shop_id,year_month,shop_name,brand,category,sido,sigungu,experiment_group,selected_prediction_model,final_growth_probability,probability_score,growth_alpha_score,review_growth_score,operation_score,stability_score,market_fit_score,gromong_score,grade,historical_internal_growth_alpha,historical_review_growth_3m,reply_rate,avg_reply_delay_hours,order_count,sales_amount,review_count,is_seoul_external,market_q4_avg_ticket,store_vs_market_ticket_ratio,reason_1,reason_2,reason_3
ba_13248384,2025-09,본죽&비빔밥 구리인창점,본그룹,백반·죽·국수,경기도,구리시,실험군,,0.9589261677949172,95.89261677949172,100.0,100.0,100.0,92.77216682331932,50.0,97.84,A,3.252224,5.0,1.0,16.03,57,1173800.0,1,0,,,브랜드·카테고리 평균 대비 초과 성장 신호가 강함,최근 리뷰 성장 흐름이 우수함,답글률과 응답속도 기준 운영 대응력이 우수함
ba_14692232,2025-09,본죽 아산용화점,본그룹,백반·죽·국수,충청남도,아산시,실험군,,0.8994487013446493,89.94487013446492,100.0,89.47368421052633,96.57227481260755,88.62840235373629,50.0,93.25,A,3.500368,2.6,1.0,142.69,155,3990400.0,6,0,,,브랜드·카테고리 평균 대비 초과 성장 신호가 강함,최근 리뷰 성장 흐름이 우수함,답글률과 응답속도 기준 운영 대응력이 우수함
ba_14689004,2025-09,본죽&비빔밥 산본학원가점,본그룹,백반·죽·국수,경기도,군포시,실험군,,0.9142373510323448,91.42373510323448,100.0,100.0,96.30495619241809,67.94166104656522,50.0,93.24,A,3.658348,6.727273,1.0,151.62,263,6785700.0,30,0,,,브랜드·카테고리 평균 대비 초과 성장 신호가 강함,최근 리뷰 성장 흐름이 우수함,답글률과 응답속도 기준 운영 대응력이 우수함
ba_14694390,2025-09,본죽&비빔밥 평택시청점,본그룹,백반·죽·국수,경기도,평택시,실험군,,0.9770431362518038,97.70431362518039,97.39473934063538,100.0,98.83224604089621,39.9838151108264,50.0,92.37,A,2.512673,6.734177,0.99,45.48,617,15612400.0,200,0,,,브랜드·카테고리 평균 대비 초과 성장 신호가 강함,최근 리뷰 성장 흐름이 우수함,답글률과 응답속도 기준 운영 대응력이 우수함
ba_13470236,2025-09,본죽&비빔밥 신제주점,본그룹,백반·죽·국수,제주특별자치도,제주시,실험군,,0.8311467441237247,83.11467441237247,100.0,100.0,95.22011556580374,85.7293296019883,50.0,91.95,A,6.160326,15.0,1.0,187.86,64,1763400.0,3,0,,,브랜드·카테고리 평균 대비 초과 성장 신호가 강함,최근 리뷰 성장 흐름이 우수함,답글률과 응답속도 기준 운영 대응력이 우수함
ba_14692455,2025-09,본죽&비빔밥 천안신불당북부점,본그룹,백반·죽·국수,충청남도,천안시,실험군,,0.9225104470505164,92.25104470505164,92.55488262038301,100.0,97.26826114176825,65.34009033556018,50.0,91.55,A,2.294369,5.0,1.0,119.44,301,7169700.0,28,0,,,브랜드·카테고리 평균 대비 초과 성장 신호가 강함,최근 리뷰 성장 흐름이 우수함,답글률과 응답속도 기준 운영 대응력이 우수함
ba_14692155,2025-09,본죽&비빔밥 해운대백병원점,본그룹,백반·죽·국수,부산광역시,해운대구,실험군,,0.938372851859358,93.8372851859358,100.0,100.0,97.50145398065692,39.81134886180272,50.0,91.45,A,2.95417,5.5,1.0,111.65,441,11358300.0,62,0,,,브랜드·카테고리 평균 대비 초과 성장 신호가 강함,최근 리뷰 성장 흐름이 우수함,답글률과 응답속도 기준 운영 대응력이 우수함
ba_14756888,2025-09,본죽&비빔밥 창원대원점,본그룹,백반·죽·국수,경상남도,창원시,실험군,,0.9201592271167376,92.01592271167375,100.0,100.0,98.21001296608632,44.0054451187881,50.0,91.34,A,3.817406,9.076923,1.0,87.98,445,8404500.0,18,0,,,브랜드·카테고리 평균 대비 초과 성장 신호가 강함,최근 리뷰 성장 흐름이 우수함,답글률과 응답속도 기준 운영 대응력이 우수함
ba_13219951,2025-09,본죽&비빔밥 순천연향점,본그룹,백반·죽·국수,전라남도,순천시,실험군,,0.8618140027058363,86.18140027058362,91.61067336238119,100.0,96.34057871851276,78.64986507395915,50.0,90.38,A,2.25178,11.2,1.0,150.43,108,2333000.0,13,0,,,브랜드·카테고리 평균 대비 초과 성장 신호가 강함,최근 리뷰 성장 흐름이 우수함,답글률과 응답속도 기준 운영 대응력이 우수함
ba_14691001,2025-09,본죽&비빔밥 광주연제점,본그룹,백반·죽·국수,광주광역시,북구,실험군,,0.8968710138745969,89.68710138745969,100.0,73.68421052631578,91.8440580086965,86.59039383870022,50.0,89.88,A,2.957463,2.0,1.0,300.64,131,3498300.0,11,0,,,브랜드·카테고리 평균 대비 초과 성장 신호가 강함,최근 리뷰 성장 흐름이 우수함,답글률과 응답속도 기준 운영 대응력이 우수함
ba_14688738,2025-09,본죽&비빔밥 분당롯데점,본그룹,백반·죽·국수,경기도,성남시,실험군,,0.8311575128242759,83.11575128242758,100.0,73.68421052631578,100.0,95.84636590407445,50.0,89.73,A,2.947045,2.0,1.0,20.28,8,187900.0,3,0,,,브랜드·카테고리 평균 대비 초과 성장 신호가 강함,최근 리뷰 성장 흐름이 우수함,답글률과 응답속도 기준 운영 대응력이 우수함
ba_14690680,2025-09,본죽&비빔밥 김해율하2지구점,본그룹,백반·죽·국수,경상남도,김해시,실험군,,0.9825668002250048,98.25668002250048,81.09478634713187,100.0,97.23922429276669,51.004231520302184,50.0,89.35,A,1.777456,3.0,1.0,120.41,643,16295500.0,40,0,,,브랜드·카테고리 평균 대비 초과 성장 신호가 강함,최근 리뷰 성장 흐름이 우수함,답글률과 응답속도 기준 운영 대응력이 우수함
ba_13223654,2025-09,본죽&비빔밥 고양행신역점,본그룹,백반·죽·국수,경기도,고양시,실험군,,0.8205776752278903,82.05776752278902,95.71935486534977,100.0,96.24685202924383,69.01664199670587,50.0,88.99,A,2.437104,4.181818,0.963,73.22,138,2294400.0,27,0,,,브랜드·카테고리 평균 대비 초과 성장 신호가 강함,최근 리뷰 성장 흐름이 우수함,답글률과 응답속도 기준 운영 대응력이 우수함
