scenario,scenario_label,platform_shop_id,shop_name,brand,category,sido,sigungu,score,grade
official_current,현재 공식 가중치,ba_13248384,본죽&비빔밥 구리인창점,본그룹,백반·죽·국수,경기도,구리시,98.1806,A
official_current,현재 공식 가중치,ba_14689004,본죽&비빔밥 산본학원가점,본그룹,백반·죽·국수,경기도,군포시,92.8259,A
official_current,현재 공식 가중치,ba_14694390,본죽&비빔밥 평택시청점,본그룹,백반·죽·국수,경기도,평택시,92.0801,A
official_current,현재 공식 가중치,ba_14756888,본죽&비빔밥 창원대원점,본그룹,백반·죽·국수,경상남도,창원시,91.7757,A
official_current,현재 공식 가중치,ba_14692155,본죽&비빔밥 해운대백병원점,본그룹,백반·죽·국수,부산광역시,해운대구,91.7206,A
official_current,현재 공식 가중치,ba_14692232,본죽 아산용화점,본그룹,백반·죽·국수,충청남도,아산시,91.7066,A
official_current,현재 공식 가중치,ba_14692455,본죽&비빔밥 천안신불당북부점,본그룹,백반·죽·국수,충청남도,천안시,91.2679,A
official_current,현재 공식 가중치,ba_14688738,본죽&비빔밥 분당롯데점,본그룹,백반·죽·국수,경기도,성남시,90.2606,A
official_current,현재 공식 가중치,ba_13470236,본죽&비빔밥 신제주점,본그룹,백반·죽·국수,제주특별자치도,제주시,89.9463,A
official_current,현재 공식 가중치,ba_13223654,본죽&비빔밥 고양행신역점,본그룹,백반·죽·국수,경기도,고양시,89.8580,A
official_current,현재 공식 가중치,ba_14462203,본죽&비빔밥 동대구시장점,본그룹,백반·죽·국수,대구광역시,동구,89.4617,A
official_current,현재 공식 가중치,ba_13219951,본죽&비빔밥 순천연향점,본그룹,백반·죽·국수,전라남도,순천시,89.4538,A
official_current,현재 공식 가중치,ba_14690680,본죽&비빔밥 김해율하2지구점,본그룹,백반·죽·국수,경상남도,김해시,89.1407,A
official_current,현재 공식 가중치,ba_14691080,본죽&비빔밥 대전유성온천역점,본그룹,백반·죽·국수,대전광역시,유성구,89.0206,A
official_current,현재 공식 가중치,ba_14690155,본죽&비빔밥 김포걸포점,본그룹,백반·죽·국수,경기도,김포시,88.4927,A
