platform_shop_id,shop_name,brand,category,current_score,current_rank,top100_scenario_count,top100_scenario_rate
ba_13248384,본죽&비빔밥 구리인창점,본그룹,백반·죽·국수,98.18,1,7,1.0000
ba_14689004,본죽&비빔밥 산본학원가점,본그룹,백반·죽·국수,92.83,2,7,1.0000
ba_14694390,본죽&비빔밥 평택시청점,본그룹,백반·죽·국수,92.08,3,7,1.0000
ba_14756888,본죽&비빔밥 창원대원점,본그룹,백반·죽·국수,91.78,4,7,1.0000
ba_14692155,본죽&비빔밥 해운대백병원점,본그룹,백반·죽·국수,91.72,5,7,1.0000
ba_14692232,본죽 아산용화점,본그룹,백반·죽·국수,91.71,6,7,1.0000
ba_14692455,본죽&비빔밥 천안신불당북부점,본그룹,백반·죽·국수,91.27,7,7,1.0000
ba_14688738,본죽&비빔밥 분당롯데점,본그룹,백반·죽·국수,90.26,8,7,1.0000
ba_13470236,본죽&비빔밥 신제주점,본그룹,백반·죽·국수,89.95,9,7,1.0000
ba_13223654,본죽&비빔밥 고양행신역점,본그룹,백반·죽·국수,89.86,10,7,1.0000
ba_14462203,본죽&비빔밥 동대구시장점,본그룹,백반·죽·국수,89.46,11,7,1.0000
ba_13219951,본죽&비빔밥 순천연향점,본그룹,백반·죽·국수,89.45,12,7,1.0000
ba_14690680,본죽&비빔밥 김해율하2지구점,본그룹,백반·죽·국수,89.14,13,7,1.0000
ba_14691080,본죽&비빔밥 대전유성온천역점,본그룹,백반·죽·국수,89.02,14,7,1.0000
ba_14690155,본죽&비빔밥 김포걸포점,본그룹,백반·죽·국수,88.49,15,7,1.0000
ba_14691093,본죽&비빔밥 대전노은점,본그룹,백반·죽·국수,88.44,16,7,1.0000
ba_14691989,본죽&비빔밥 여천신동아점,본그룹,백반·죽·국수,88.40,17,7,1.0000
ba_14689003,본죽&비빔밥 구리인창점,본그룹,백반·죽·국수,88.16,18,7,1.0000
ba_14689953,본죽&비빔밥 양주고읍점,본그룹,백반·죽·국수,87.95,19,7,1.0000
ba_14766686,굽네치킨 운정2호점,굽네치킨,피자,87.88,20,6,0.8571
ba_14690630,본죽&비빔밥 포항창포점,본그룹,백반·죽·국수,87.86,21,7,1.0000
ba_14746052,본죽&비빔밥 포항두호점,본그룹,백반·죽·국수,87.75,22,7,1.0000
