platform_shop_id,year_month,shop_name,brand,category,sido,sigungu,growth_label_top30,composite_growth_score,historical_internal_growth_alpha,model,growth_probability,predicted_label
ba_14686997,2025-08,본죽 삼전동점,본그룹,백반·죽·국수,서울특별시,송파구,0,0.027121,-0.029019,seoul_external,0.9943352455405021,1
ba_14688114,2025-08,본죽&비빔밥 신촌점,본그룹,백반·죽·국수,서울특별시,서대문구,0,0.09556,0.546127,seoul_external,0.9942566236325164,1
ba_14687350,2025-08,본죽&비빔밥 구로구청점,본그룹,백반·죽·국수,서울특별시,구로구,0,-0.086015,-0.066788,seoul_external,0.9912069637465734,1
ba_14687344,2025-08,본죽&비빔밥 쌍문점,본그룹,백반·죽·국수,서울특별시,도봉구,1,0.621452,2.336896,seoul_external,0.9910560972049985,1
ba_14686997,2025-09,본죽 삼전동점,본그룹,백반·죽·국수,서울특별시,송파구,0,-0.185728,0.469531,seoul_external,0.9866556039733022,1
ba_14687335,2025-08,본죽&비빔밥 광운대역점,본그룹,백반·죽·국수,서울특별시,노원구,1,0.224824,-0.073421,seoul_external,0.9839424148449479,1
ba_14688088,2025-08,본죽&비빔밥 대흥역점,본그룹,백반·죽·국수,서울특별시,마포구,0,0.04323,-0.074013,seoul_external,0.9835766445016996,1
ba_14688114,2025-09,본죽&비빔밥 신촌점,본그룹,백반·죽·국수,서울특별시,서대문구,0,-0.150916,2.038239,seoul_external,0.9817485898923062,1
ba_14712294,2025-08,본죽&비빔밥 서울대입구역점,본그룹,백반·죽·국수,서울특별시,관악구,0,0.039411,0.079477,seoul_external,0.9807087500391838,1
ba_14309634,2025-09,굽네치킨&피자 삼성2동점,굽네치킨,치킨,서울특별시,강남구,1,0.632003,-0.333007,seoul_external,0.9786116129633843,1
ba_14687350,2025-09,본죽&비빔밥 구로구청점,본그룹,백반·죽·국수,서울특별시,구로구,0,-0.209916,0.184865,seoul_external,0.9785967057241937,1
ba_14687344,2025-09,본죽&비빔밥 쌍문점,본그룹,백반·죽·국수,서울특별시,도봉구,0,0.11354,4.272854,seoul_external,0.9778522973780595,1
ba_14687335,2025-09,본죽&비빔밥 광운대역점,본그룹,백반·죽·국수,서울특별시,노원구,0,-0.143703,2.323931,seoul_external,0.9718496241178417,1
ba_14690081,2025-08,본죽 신곡시장점,본그룹,백반·죽·국수,서울특별시,양천구,1,0.126332,0.354855,seoul_external,0.9682766127080397,1
ba_14712294,2025-09,본죽&비빔밥 서울대입구역점,본그룹,백반·죽·국수,서울특별시,관악구,0,-0.281364,0.914245,seoul_external,0.9660150732159285,1
ba_14687318,2025-08,본죽&비빔밥 독산정훈단지점,본그룹,백반·죽·국수,서울특별시,금천구,1,0.189516,0.376896,seoul_external,0.9635690035173884,1
ba_14688687,2025-08,본죽&비빔밥 신길점,본그룹,백반·죽·국수,서울특별시,영등포구,1,0.224094,0.233519,seoul_external,0.9628624830261797,1
ba_14688860,2025-08,본죽&비빔밥 수색DMC점,본그룹,백반·죽·국수,서울특별시,은평구,1,0.12341,0.184896,seoul_external,0.9627873891096643,1
ba_14117511,2025-09,굽네치킨 논현1동점,굽네치킨,치킨,서울특별시,강남구,0,-0.243568,-0.383628,seoul_external,0.9570637917279934,1
ba_14688180,2025-08,본죽&비빔밥 왕십리뉴타운점,본그룹,백반·죽·국수,서울특별시,성동구,0,0.108215,-0.003378,seoul_external,0.9566845986839841,1
ba_14688582,2025-08,본죽&비빔밥 오목교역점,본그룹,백반·죽·국수,서울특별시,양천구,0,0.107172,-0.044799,seoul_external,0.9535697656680281,1
ba_14687368,2025-08,본죽&비빔밥 장안동점,본그룹,백반·죽·국수,서울특별시,동대문구,1,0.251237,-0.110451,seoul_external,0.9524063801944733,1
ba_13412065,2025-09,굽네치킨 신길뉴타운점,굽네치킨,치킨,서울특별시,영등포구,0,-0.196385,1.296202,seoul_external,0.9523174705563491,1
ba_14692060,2025-08,본죽&비빔밥 돌곶이역점,본그룹,백반·죽·국수,서울특별시,성북구,1,0.449565,0.00305,seoul_external,0.9509911970767445,1
ba_14688924,2025-08,본죽&비빔밥 서대문역점,본그룹,백반·죽·국수,서울특별시,종로구,0,0.011872,-0.035961,seoul_external,0.9501944549974448,1
ba_14688180,2025-09,본죽&비빔밥 왕십리뉴타운점,본그룹,백반·죽·국수,서울특별시,성동구,0,-0.251439,1.321873,seoul_external,0.9494865070002004,1
ba_14688582,2025-09,본죽&비빔밥 오목교역점,본그룹,백반·죽·국수,서울특별시,양천구,0,-0.191976,0.336794,seoul_external,0.9480347821732762,1
ba_14687333,2025-08,본죽&비빔밥 석계역점,본그룹,백반·죽·국수,서울특별시,노원구,0,0.074788,-0.087104,seoul_external,0.9473843389857977,1
ba_14688088,2025-09,본죽&비빔밥 대흥역점,본그룹,백반·죽·국수,서울특별시,마포구,0,-0.338692,3.897188,seoul_external,0.9467374198996872,1
ba_14687326,2025-08,본죽&비빔밥 개봉점,본그룹,백반·죽·국수,서울특별시,구로구,1,0.29972,0.061151,seoul_external,0.9464475151309284,1
